ORDEREXTERNALID,TASK_INSTANCE_ID,TASK_NAME,Tasks,STATUS,CREATED_DTTM,PRODUCTSPEC,SWIFT STATUS,Task Status changed to,Read Swift status
552543195,AP-EXT-552543195-4036682-MON-1-0-1-DELETE-OLINE-2-1,DELETE PATH,DELETE PATH,In-Progress,3-Oct-22,E-Line,Closed,Completed,Cancelled
552886855,AP-EXT-552886855-4462323-MON-1-0-1-DELETE-UNI-1,Delete UNI ASRI,Delete UNI ASRI,Failed,8-Nov-22,E-Line,Closed,Completed,Cancelled
552576084,AP-EXT-552576084-4085214-MON-1-0-1-DELETE-UNI-1-5,Delete Uni from ASRI,Delete Uni from ASRI,Create,5-Sep-22,E-Line,Closed,Completed,Closed
552708185,AP-EXT-552708185-4289184-MON-3-0-1-DELETE-UNI-1-5,Delete Uni from ASRI,Delete Uni from ASRI,Create,2-Sep-22,INTERNET,Closed,Completed,Cancelled
552886855,AP-EXT-552886855-4462323-MON-1-0-1-DELETE-UNI-1-5,Delete Uni from ASRI,Delete Uni from ASRI,Failed,8-Nov-22,E-Line,Closed,Completed,Cancelled
552920944,AP-EXT-552920944-4495383-MON-1-0-1-DELETE-UNI-1-5,Delete Uni from ASRI,Delete Uni from ASRI,Create,13-Oct-22,E-Line,Closed,Completed,Cancelled
552708185,AP-EXT-552708185-4289184-MON-3-0-1,Delete UNI Service,Delete UNI Service,In-Progress,2-Sep-22,INTERNET,Closed,Completed,Cancelled
552886855,AP-EXT-552886855-4462323-MON-1-0-1,Delete UNI Service,Delete UNI Service,Failed,24-Oct-22,E-Line,Closed,Completed,Cancelled
552920944,AP-EXT-552920944-4495383-MON-1-0-1,Delete UNI Service,Delete UNI Service,Failed,13-Oct-22,E-Line,Closed,Completed,Cancelled
552845479,AP-EXT-552845479-4419249-MON-1-0-1,Delete XVC Service SL,Delete XVC Service SL,Failed,8-Sep-22,E-Line,Closed,Completed,Cancelled
552888618,AP-EXT-552888618-4463661-MON-1-0-1,Delete XVC Service SL,Delete XVC Service SL,Failed,21-Oct-22,E-Line,Closed,Completed,Closed
552907775,AP-EXT-552907775-4481130-MON-1-0-1,Delete XVC Service SL,Delete XVC Service SL,Failed,11-Oct-22,E-Access,Closed,Completed,Closed
552910524,AP-EXT-552910524-4483709-MON-1-0-1,Delete XVC Service SL,Delete XVC Service SL,Failed,11-Oct-22,E-Access,Closed,Completed,Cancelled
