"ORDEREXTERNALID","TASK_INSTANCE_ID","swiftStatusInSheet","swiftStatusCurrent"
"552810995","AP-EXT-552810995-4379910-MON-2-0-1-DELETE-XVC-TL-1-11","Cancelled","Cancelled"
"552791874","AP-EXT-552791874-4387574-MON-1-0-DIA-343236016-1-CREATE-OLINE-1-7","Closed","Closed"
"552839475","AP-EXT-552839475-4414778-MON-1-0-1001-xVC-343728276-1-1","Closed","Closed"
"552791874","AP-EXT-552791874-4387574-MON-1-0-1001-UNI-343236017-1","Closed","Closed"
"552826389","AP-EXT-552826389-4405861-MON-1-1-1001-xVC-342171707-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1","Closed","Closed"
"552872765","AP-EXT-552872765-4471304-MON-1-0-1001-xVC-343798098-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-DIA-343308604-1-CREATE-OLINE-1","Closed","Closed"
"552375658","AP-EXT-552375658-3844107-MON-1-0-1001-xVC-341403541-1-1","Closed","Closed"
"552755011","AP-EXT-552755011-4393739-MON-1-0-1001-UNI-343308603-1-CREATE-UNI-1","Closed","Closed"
"552730567","AP-EXT-552730567-4288886-MON-1-1-1001-xVC-343283615-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1","Closed","Closed"
"552794012","AP-EXT-552794012-4390874-MON-1-0-DIA-343530164-1-CREATE-OLINE-1-7","Closed","Closed"
"552839475","AP-EXT-552839475-4414778-MON-1-0-1001-xVC-343728276-1-1-CREATE-XVC-SL-1-CREATE-Evpl-TL-1","Closed","Closed"
"552913227","AP-EXT-552913227-4491709-MON-1-0-1-DELETE-XVC-TL-1","Closed","Closed"
"552675949","AP-EXT-552675949-4264624-MON-1-0-1001-xVC-342817356-1-1-CREATE-XVC-SL-1-GATHER-EPL-PET-SL-1-1-CREATE-PET-1","Closed","Closed"
